Octopus Unit Type,GroupName at UnitGroup,Network
ALL,AllLinux,Ignore
CAS,CAS_Group,MZ
CMS,CMS,MZ
WIS,depractaed,Ignore
DSU,DSU_Group,MZ
DSU_A,DSU_Group,MZ
DSU_B,DSU_Group,MZ
CMD,IS3_CMD_Unit,MZ
CMD_A,IS3_CMD_Unit,MZ
CMD_B,IS3_CMD_Unit,MZ
MIPS,IS3_CMD_Unit,MZ
LVU,LVU_Unit,MZ
All,MAMLinux,Ignore
MMG_UNIT,MMSGW,MZ
MMSGW,MMSGW,MZ
MTS,MTS_Group,MZ
MTS-U,MTS_Group,MZ
NDU,NDU-WHC_Group,MZ
NDU-WHC,NDU-WHC_Group,MZ
OMU,OMU,MZ
PROXY,PROXY_Group,DMZ
SMU,SMU_Group,MZ
SMU_A,SMU_Group,MZ
SMU_B,SMU_Group,MZ
TRM,TRM_Group,MZ
TRM_P,TRM_Group,MZ
TRM_S,TRM_Group,MZ
MAU,unknoown,MZ
VM-ASU,Vm-Asu,MZ
